시군구,도로명코드,도로명,영문도로명,읍면동일련번호,시도명,시군구명,읍면동구분,읍면동코드,읍면동명,상위도로코드,상위도로명,폐지구분,변경이력사유,변경이력정보,영문시도명,영문시군구명,영문읍면동명,고시일자,말소일자
11710,4169171,백제고분로19길,Baekjegobun-ro 19-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169171,백제고분로19길,Baekjegobun-ro 19-gil,1,서울특별시,송파구,1,101.0,잠실동,,,0,,,Seoul,Songpa-gu,Jamsil-dong,20100604.0,
11710,4169172,백제고분로20길,Baekjegobun-ro 20-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169172,백제고분로20길,Baekjegobun-ro 20-gil,1,서울특별시,송파구,1,101.0,잠실동,,,0,,,Seoul,Songpa-gu,Jamsil-dong,20100604.0,
11710,4169173,백제고분로21길,Baekjegobun-ro 21-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169173,백제고분로21길,Baekjegobun-ro 21-gil,1,서울특별시,송파구,1,106.0,삼전동,,,0,,,Seoul,Songpa-gu,Samjeon-dong,20100604.0,
11710,4169174,백제고분로22길,Baekjegobun-ro 22-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169174,백제고분로22길,Baekjegobun-ro 22-gil,1,서울특별시,송파구,1,106.0,삼전동,,,0,,,Seoul,Songpa-gu,Samjeon-dong,20100604.0,
11710,4169175,백제고분로23길,Baekjegobun-ro 23-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169175,백제고분로23길,Baekjegobun-ro 23-gil,1,서울특별시,송파구,1,106.0,삼전동,,,0,,,Seoul,Songpa-gu,Samjeon-dong,20100604.0,
11710,4169176,백제고분로24길,Baekjegobun-ro 24-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169176,백제고분로24길,Baekjegobun-ro 24-gil,1,서울특별시,송파구,1,106.0,삼전동,,,0,,,Seoul,Songpa-gu,Samjeon-dong,20100604.0,
11710,4169177,백제고분로25길,Baekjegobun-ro 25-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169177,백제고분로25길,Baekjegobun-ro 25-gil,1,서울특별시,송파구,1,106.0,삼전동,,,0,,,Seoul,Songpa-gu,Samjeon-dong,20100604.0,
11710,4169178,백제고분로27길,Baekjegobun-ro 27-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169178,백제고분로27길,Baekjegobun-ro 27-gil,1,서울특별시,송파구,1,106.0,삼전동,,,0,,,Seoul,Songpa-gu,Samjeon-dong,20100604.0,
11710,4169179,백제고분로28길,Baekjegobun-ro 28-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169179,백제고분로28길,Baekjegobun-ro 28-gil,1,서울특별시,송파구,1,106.0,삼전동,,,0,,,Seoul,Songpa-gu,Samjeon-dong,20100604.0,
11710,4169180,백제고분로29길,Baekjegobun-ro 29-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169180,백제고분로29길,Baekjegobun-ro 29-gil,1,서울특별시,송파구,1,106.0,삼전동,,,0,,,Seoul,Songpa-gu,Samjeon-dong,20100604.0,
11710,4169181,백제고분로31길,Baekjegobun-ro 31-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
